NetID,Capstone,ePortfolio Link,Integration3,Prompt1,Prompt2,Prompt3,Prompt4,Prompt5,Prompt6,Prompt7,Prompt8,Prompt9,Prompt10,Prompt11
acohen1,340,20,176,0,20,20,20,20,20,10,20,20,20,20
acontre3,340,20,172,20,20,20,20,20,20,20,20,20,20,0
aconway,340,20,180,20,20,20,20,20,20,20,20,20,20,20
acook8,340,20,200,20,20,20,20,20,20,20,20,20,20,20
acoury,330,20,200,20,20,20,20,20,20,20,20,20,20,20
acrowle1,340,20,200,20,20,20,20,20,20,20,20,20,20,20
adaniele,340,20,200,20,20,20,20,20,20,20,20,20,20,20
adarrow,340,20,200,20,20,20,20,20,20,20,20,20,20,0
adecker1,340,20,200,20,20,20,20,20,20,20,20,20,20,20
adevito1,320,20,182,20,20,20,20,20,20,20,20,20,20,20
adichris,340,20,200,20,20,20,20,20,20,20,20,20,20,20
adiederi,340,20,200,20,20,20,20,20,20,20,20,20,15,20
adinovo,340,20,200,20,20,20,20,20,20,20,20,20,20,20
adorranc,340,20,200,20,0,20,20,20,20,0,20,20,20,0
adrisco2,340,20,194,20,20,20,20,20,20,20,20,20,20,20
adunniga,340,20,200,20,20,20,20,20,20,20,20,20,20,20
aedward8,329,20,190,20,20,20,20,20,0,20,20,20,20,20
aeiteljo,330,20,200,20,20,20,20,20,20,20,20,20,20,20
aemerson,290,20,200,20,20,20,20,0,18,20,20,20,20,20
aescobar,311,20,188,20,20,20,20,20,20,20,20,0,20,20
afeda,311,20,188,20,20,20,0,20,20,20,20,20,20,20
afemrite,340,20,194,20,20,20,20,20,20,20,20,20,20,20
afinster,340,20,200,10,20,20,20,20,20,20,20,20,20,20
afonash,340,20,200,20,20,20,20,20,20,20,20,20,20,20
afranco5,340,20,170,20,20,20,20,20,20,20,20,20,20,20
afulwide,340,20,200,10,20,20,20,20,20,20,20,20,20,20
agannon3,320,20,200,20,20,20,20,20,20,20,20,20,20,20
agaraton,340,20,200,20,20,20,20,20,20,20,20,20,20,20
agegen,326,20,194,20,20,20,20,20,20,20,20,20,20,20
agerman,340,20,190,20,20,20,20,20,20,20,20,20,20,20
agomez13,320,20,200,10,20,20,20,20,20,20,20,20,20,20
agonza32,326,20,200,20,20,20,20,20,20,20,20,20,20,20
agoskowi,340,20,188,20,20,20,20,10,20,20,20,20,20,20
agraffia,340,20,200,20,20,20,20,20,20,20,20,,20,20
agraham2,340,20,200,20,20,20,20,20,20,20,20,20,20,20
agreer1,334,20,180,20,20,20,20,20,20,0,0,20,20,20
agregor1,301,20,200,20,20,20,20,20,20,0,20,20,20,
aguerra2,327,20,194,20,20,20,20,20,20,20,20,20,20,20
ahachigi,326,20,188,20,20,20,20,20,20,20,20,20,20,20
ahapp,320,20,180,20,20,20,20,20,20,20,20,20,20,20
ahays1,329,20,192,20,20,20,20,20,20,20,20,20,20,20
aheck1,330,20,184,20,20,20,20,20,20,20,20,20,20,20
aheinzma,340,20,188,20,20,20,20,20,0,20,20,20,20,20
aherman2,340,20,172,20,20,20,20,20,20,20,15,20,20,18
aherna13,340,20,200,20,20,20,20,20,20,20,20,20,20,20
ahollow2,340,20,200,20,20,15,15,20,15,20,20,20,20,20
ahughes8,334,20,200,20,20,20,20,20,20,20,20,20,20,20
ahymes,320,20,200,20,20,20,20,20,20,20,20,20,20,20
ajamies1,320,20,180,20,20,20,20,10,20,20,20,20,20,20
ajarosik,325,20,182,15,20,20,20,20,20,20,20,18,20,20
ajbara,340,20,186,20,20,20,20,20,20,20,20,20,20,20
akeller5,325,20,195,20,20,20,20,20,20,20,20,20,20,20
akeys,320,20,168,20,20,20,20,20,20,20,20,10,10,20
akhemani,340,20,200,20,20,20,20,20,20,20,20,20,20,20
akokot,340,20,200,20,20,20,20,20,20,20,20,20,20,20
akowblan,340,20,172,20,20,20,20,20,20,20,20,20,20,20
akurz,326,20,200,20,20,0,20,20,20,10,20,20,20,0
alabella,340,20,200,20,20,20,20,20,20,20,20,20,20,20
alaboe,320,20,194,20,20,20,20,20,20,20,20,20,20,20
aleahy,340,20,200,20,20,20,20,20,20,20,20,20,20,20
alebron1,340,20,194,20,20,20,20,20,20,20,20,20,20,20
alee25,334,20,200,20,20,20,20,20,20,20,20,20,20,20
alehanka,340,20,200,20,20,20,20,20,20,20,20,20,20,20
aleos,311,20,188,10,20,10,20,20,20,20,20,20,10,20
alifka,326,20,194,20,20,20,20,20,20,20,20,20,20,20
alindema,340,20,180,20,20,20,10,10,20,10,20,20,20,20
alongsta,326,20,200,20,20,20,20,20,20,20,20,20,20,20
alopez12,279,20,200,20,20,20,20,20,20,20,20,20,0,20
alowney,340,20,200,20,20,20,20,20,20,20,20,20,20,20
alucche1,340,20,200,20,20,20,20,20,20,20,20,20,20,20
aluong,340,0,180,20,20,20,20,20,20,20,20,20,20,20
aly1,320,10,163,20,20,10,20,20,20,20,20,20,20,20
amacias1,326,20,163,20,20,20,20,20,20,20,0,20,20,20
amarti54,326,20,200,20,20,20,20,20,20,20,20,20,20,20
amarti55,334,20,200,20,20,20,20,20,20,20,20,20,20,20
amccar10,340,20,200,20,20,20,20,20,20,20,20,20,20,20
amccar11,340,20,200,20,20,0,20,20,20,20,20,20,20,20
amcfadd1,301,20,160,20,20,20,20,20,20,20,20,20,20,18
amcgrat3,329,20,196,20,20,0,20,20,20,20,20,20,10,20
amellert,320,20,188,20,20,20,20,20,20,20,20,20,20,20
amille43,340,0,200,10,20,20,20,20,10,0,20,10,20,20
amitch13,320,20,194,20,20,20,20,20,20,20,20,20,20,20
amora2,318,20,188,20,20,20,20,20,20,20,20,20,20,20
amoran6,340,20,192,20,10,0,20,20,20,20,20,20,20,20
amorcus,334,20,200,20,20,20,20,20,20,20,20,20,20,20
amorejo1,340,20,200,20,20,20,20,20,20,20,20,20,20,20
amurph14,320,20,178,20,20,20,20,20,18,20,20,20,20,20
amurph15,320,20,194,20,20,20,20,20,20,20,20,20,20,20
amurra10,340,20,180,20,20,20,20,20,20,20,20,20,20,20
anataraj,340,20,194,20,20,20,20,20,20,20,20,20,20,20
angov,340,20,200,20,20,20,20,20,20,20,0,20,20,20
anisbet,320,40,200,20,20,20,20,20,20,20,20,20,20,20
aobert,301,20,175,5,18,20,20,20,20,20,20,20,20,20
aohri,340,20,194,20,20,20,20,20,20,10,20,20,20,20
aokon,340,20,188,20,20,20,20,20,20,20,20,0,20,20
aorsinel,340,20,190,20,20,20,20,20,20,20,20,20,20,20
aosorio,340,20,200,20,20,20,20,20,20,20,20,20,20,20
aoverlac,320,20,185,20,20,20,20,20,20,20,20,20,20,20
apaik,340,20,200,20,20,20,10,20,20,20,20,20,20,20
apanousi,326,20,200,20,20,20,20,20,20,20,20,20,20,20
apargani,340,20,200,20,20,20,20,20,20,20,20,0,0,0
apasin,316,20,185,20,20,20,20,20,20,20,20,20,20,20
apavelka,334,20,186,20,20,20,20,20,20,20,20,20,20,20
aperson,307,20,200,20,20,20,10,20,20,20,20,20,20,20
apeter14,325,20,200,20,20,20,20,20,20,20,20,20,20,20
apines1,326,10,200,20,20,20,20,20,20,20,20,20,20,20
aplecki,326,20,200,20,20,20,20,20,0,20,20,20,20,0
apowers5,327,20,186,20,10,20,20,20,20,10,10,10,10,10
apreda,326,20,172,20,20,20,20,20,20,20,20,20,20,20
arabbitt,340,20,200,20,20,20,20,20,20,20,20,0,20,20
areardon,338,20,198,20,20,20,20,20,0,20,20,0,20,20
areisin2,333,20,191,20,20,20,20,20,20,20,20,20,20,20
areymer,340,20,200,20,20,20,20,20,20,20,20,20,20,20
aritten,323,20,190,20,20,20,20,20,20,20,20,20,20,20
aromano2,340,20,200,20,20,20,20,20,20,20,20,20,20,20
aschomog,340,20,200,20,20,20,20,20,20,20,20,20,20,20
aseketa,340,20,190,20,20,20,20,20,20,20,20,20,20,20
asharpe,301,20,172,20,20,20,20,20,20,20,20,20,20,20
ashields,260,20,175,20,20,20,20,20,20,20,20,20,20,20
asiegel1,320,20,200,20,20,20,20,20,20,20,20,20,20,20
asiguler,340,20,180,20,20,20,20,20,20,15,20,20,20,20
aslevin,340,20,200,20,20,20,20,20,20,20,20,20,20,20
asmith56,334,20,200,20,20,20,20,20,20,20,20,20,20,20
asood1,340,20,194,20,20,20,20,20,20,20,20,20,20,20
asoto3,326,20,190,20,20,20,20,20,,20,,20,20,20
asowell,340,20,194,20,20,20,20,20,20,20,20,20,20,20
astaresi,340,10,200,20,20,20,20,20,20,20,20,20,20,20
astensby,340,15,186,20,20,20,20,20,20,20,20,10,0,20
asteven4,340,20,200,20,20,20,20,20,20,20,20,20,20,20
astokes2,290,20,190,20,20,20,20,20,20,20,20,20,20,20
asweet,340,20,188,20,20,20,20,20,20,20,20,20,20,20
aszpynda,320,20,188,20,20,20,20,10,20,20,20,20,20,20
athill1,325,20,200,20,20,20,20,20,20,20,20,20,20,20
athoma24,334,20,200,20,20,20,20,20,20,20,20,20,20,20
atorrico,340,20,200,10,20,20,20,20,20,0,20,20,20,20
atreacy,340,20,200,20,20,20,20,20,20,20,20,20,20,20
aturzai,326,20,200,20,20,20,20,20,20,20,20,20,20,20
aurquijo,0,20,163,20,20,20,20,20,20,20,20,20,0,20
aursino1,340,20,200,20,20,20,20,20,20,20,20,20,20,20
avanblun,335,20,200,20,20,20,20,20,20,20,20,20,20,20
aveon,340,20,188,20,20,20,20,20,20,20,20,20,20,20
aviducic,340,20,200,20,20,20,20,20,20,20,20,20,20,20
avilleg1,320,20,200,20,20,20,20,20,20,20,20,20,20,20
awagner6,340,20,200,20,20,20,20,20,20,20,20,20,20,20
awaldsch,340,20,194,20,20,20,20,20,20,20,20,20,20,20
awalton3,334,20,194,20,20,20,20,20,20,20,20,20,0,20
awang4,340,20,200,20,20,20,20,20,20,20,20,20,20,20
awatkin7,340,20,200,20,20,20,20,0,20,20,20,15,20,20
aweishan,340,20,200,20,20,20,20,20,20,20,20,20,20,20
awellen,311,20,188,20,20,20,20,20,20,20,20,20,20,20
awhite19,334,20,163,20,20,20,20,20,20,20,20,20,20,20
awhite20,320,20,200,20,20,20,20,20,20,20,20,20,20,20
awitte,327,20,190,20,20,20,20,20,20,20,20,20,20,20
awolfe4,326,20,200,20,20,20,20,20,20,20,20,20,20,20
awood8,340,20,200,20,20,20,20,20,20,20,20,20,20,20
azammit,340,20,188,20,20,20,20,20,20,20,20,20,20,20
azawojsk,340,20,190,20,20,20,20,20,20,20,20,20,20,20
barmstea,316,20,180,20,20,20,20,20,20,20,20,0,20,20
bbatas,326,10,180,20,20,20,20,20,20,20,20,20,20,20
bbaumbic,340,20,200,20,20,20,20,20,20,20,20,20,20,20
bbishop2,340,20,190,20,20,20,20,20,20,20,20,20,20,20
bbradle4,334,20,180,20,20,20,20,20,20,20,20,20,20,20
bbrady2,320,20,188,20,20,20,20,20,0,20,20,20,20,20
bbrown14,330,20,200,20,20,20,20,20,20,20,20,20,20,20
bburger,320,20,200,20,20,20,20,20,0,20,20,20,20,20
bbuscher,340,20,200,20,20,20,20,20,20,20,20,20,20,20
bcahill2,320,10,188,20,20,20,20,10,20,20,20,20,20,20
bcarmody,340,20,200,20,20,20,10,20,20,20,20,20,20,20
bcartwri,340,20,190,20,20,20,20,20,20,20,20,20,20,20
bconlon,326,20,194,20,20,20,20,20,20,20,20,20,20,20
bconnol3,334,20,200,20,20,20,20,20,20,20,20,20,20,20
bcopp,340,20,200,20,20,20,20,20,20,20,20,20,20,20
bcordel1,320,20,180,0,20,20,20,20,20,20,20,20,20,20
bdages,340,20,190,20,20,20,20,20,20,20,20,20,20,20
bdahnke,320,20,172,20,20,20,20,20,20,20,20,20,20,20
bdeehan,320,20,166,20,20,20,20,20,20,20,20,20,20,20
bdicanio,340,20,200,20,20,20,20,20,20,20,20,20,20,20
bdivney,335,20,195,20,20,20,15,20,20,20,20,20,20,20
bdrummo1,334,20,200,20,20,20,20,20,20,20,20,20,20,20
bdusling,340,20,200,20,20,20,20,20,20,20,20,20,10,20
bdzubara,340,20,186,20,20,20,20,20,20,20,20,20,20,20
began4,340,20,198,20,20,20,20,20,20,20,20,20,20,20
belder,340,20,200,20,20,20,20,20,20,20,20,20,20,20
bferrer1,333,20,193,20,20,20,20,20,20,20,20,20,20,20
bferris1,340,20,200,20,20,20,20,20,20,20,20,20,20,20
bfraser,329,20,188,0,20,20,20,20,20,20,20,20,20,20
bgagnon,334,20,194,20,20,20,20,20,20,20,20,10,15,20
bgarrity,326,20,143,20,20,20,20,20,20,20,20,20,20,20
bgawel,340,20,200,20,20,20,20,20,20,20,20,20,20,15
bgrier,340,0,200,0,20,10,20,0,0,20,20,20,20,20
bgriffi3,340,20,200,20,20,20,20,20,20,20,20,20,20,20
bhalliga,340,20,200,20,20,20,20,20,20,20,20,20,20,20
bhart5,340,20,200,20,20,20,20,20,20,20,20,20,20,20
bhasara,292,20,194,20,20,20,20,20,20,20,20,20,20,20
bheather,307,20,188,20,20,20,0,20,20,20,20,20,20,20
bhogan1,340,20,188,20,20,20,20,20,20,20,20,20,20,20
bhogan2,326,20,200,20,20,20,20,20,20,20,20,20,20,20
bhuls,301,20,188,20,20,20,20,20,20,20,20,20,20,0
bjohns22,340,20,200,20,20,20,20,20,20,20,20,20,20,20
bjordan3,334,20,,20,20,20,20,20,20,20,20,20,20,20
bjos,320,20,188,20,20,20,20,20,20,20,20,20,20,20
bkeanemu,334,20,194,20,20,20,20,20,20,20,20,20,20,20
bkenney1,311,0,200,20,20,20,20,20,20,20,20,20,20,20
bklaus,340,20,200,20,20,20,20,20,20,20,20,20,20,20
bknarr,330,20,198,20,20,20,20,20,20,20,20,20,15,20
blee16,340,20,200,0,20,10,0,20,20,0,20,20,20,20
blefkowi,311,20,188,20,20,20,20,20,20,20,20,20,20,20
blemay,340,20,188,20,20,20,20,20,20,20,20,20,20,20
blumb,320,20,194,20,20,20,20,20,20,20,20,20,20,20
blyons1,301,20,180,20,20,20,20,20,20,20,20,20,20,20
bmcgee1,340,20,190,20,20,20,20,20,20,20,20,20,,20
bmerrick,320,20,175,20,20,20,20,20,20,20,20,20,20,20
bmooney3,340,20,200,20,20,20,20,10,0,20,20,20,20,20
bmoreno1,340,10,200,20,20,20,20,20,20,20,20,20,20,20
bmorrell,260,20,163,10,20,20,20,10,20,20,10,20,10,20
bmurph24,340,20,200,20,20,20,20,20,20,20,20,20,20,20
bnakfoor,340,20,194,20,20,20,20,20,20,20,20,20,20,20
bnavarro,340,20,172,20,20,20,20,20,20,20,20,20,20,20
bni,340,20,200,20,20,20,20,15,20,20,20,20,20,20
bniemoel,340,20,200,10,20,20,20,20,20,20,20,20,20,20
bpapiern,301,20,180,20,20,20,20,20,20,20,20,20,20,20
bphelan2,330,20,193,20,20,20,20,20,20,20,20,20,20,20
bpierpoi,340,20,200,20,20,20,20,20,20,20,20,20,20,20
bpowell4,340,20,200,20,20,20,20,20,20,20,20,20,20,20
bprice8,320,20,152,20,20,20,20,20,20,20,0,20,20,20
braimann,326,0,180,20,20,20,20,20,20,20,20,15,20,20
bsabey,338,20,191,20,20,20,20,20,20,20,20,20,20,0
bsailer1,340,20,194,20,20,20,20,20,20,20,20,20,20,20
bsantan1,292,10,188,0,0,20,0,0,20,20,20,20,20,20
bscholl1,315,20,180,20,20,20,20,20,20,0,20,20,20,20
bsoaresd,325,20,200,20,20,20,0,20,20,20,20,20,20,20
btello,326,15,200,20,20,20,20,20,20,0,20,20,10,20
btompole,340,20,200,20,10,20,20,20,20,20,20,20,20,20
btournat,301,20,188,20,20,20,20,10,20,20,20,20,20,20
btrosse1,338,20,192,20,20,20,20,20,20,20,20,20,20,20
bverrecc,307,20,180,0,10,15,20,20,20,10,10,20,20,20
bwainsco,320,20,188,20,20,20,20,20,0,20,20,20,0,20
bwatson3,334,20,200,20,20,20,20,20,20,20,20,20,20,20
bwears,340,20,200,20,20,20,20,20,20,20,20,20,20,20
bwright7,326,20,200,20,20,20,20,20,20,20,20,20,20,20
bxie,334,20,188,20,20,20,20,20,20,20,20,20,20,20
camstut1,340,20,188,20,20,20,20,20,20,20,0,20,20,20
carizama,340,20,200,20,20,10,20,20,20,20,20,20,20,20
carmstr2,340,20,200,20,20,20,20,20,20,20,20,20,20,0
cassam,340,20,200,20,20,20,20,20,20,20,20,20,20,20
cbarahon,320,20,200,20,20,,20,20,20,20,20,20,20,20
cbartlet,340,20,200,20,20,20,20,20,20,20,20,20,20,20
cbeirne,340,20,200,20,20,20,10,20,20,20,20,20,20,20
cbert,322,20,194,20,20,0,20,20,19,18,18,17,18,0
cbeverid,334,20,200,20,20,20,20,20,20,20,0,20,20,20
cbine,334,20,200,20,20,20,20,20,20,20,20,20,20,20
cbolivar,340,20,200,20,20,20,20,20,20,20,20,20,20,0
cbontra1,320,40,200,20,20,20,20,20,20,20,20,20,20,20
cbotta,340,20,199,20,20,20,20,20,20,20,20,20,20,20
cbowden,320,20,200,20,20,20,20,20,10,20,20,20,10,20
cbutler3,311,20,194,20,20,20,20,20,20,20,20,20,20,20
ccahill5,320,20,190,20,20,20,20,20,20,20,20,20,20,20
ccahill6,340,20,200,20,20,20,20,20,20,20,20,20,20,20
ccampb20,340,10,200,20,20,20,20,20,20,20,20,20,20,20
ccampb21,320,20,172,20,20,20,20,20,20,15,20,15,15,10
ccappel,292,20,180,20,20,20,10,10,20,,20,20,20,20
ccarlso2,334,20,163,20,20,20,20,20,20,20,20,20,20,20
ccasper,330,20,195,20,20,20,20,20,20,20,20,20,20,20
ccastil4,320,20,171,20,20,20,20,20,20,20,20,20,20,20
cchen10,340,20,194,20,20,20,20,20,20,20,20,20,20,20
cchiment,340,20,200,20,20,20,20,20,20,20,15,20,0,20
ccleary1,320,20,188,20,20,20,20,20,20,20,20,20,20,20
ccocco,340,20,200,20,20,20,20,20,0,20,20,20,20,20
ccochra3,321,10,196,20,20,20,20,20,20,16,20,20,20,20
ccooper8,334,20,190,20,20,20,20,20,20,20,20,20,20,20
ccorse,340,20,190,20,20,20,20,20,20,20,20,20,20,20
cdamore1,320,20,188,0,20,20,0,20,20,20,20,20,20,20
cdanos,301,20,200,20,20,20,20,20,20,20,20,20,20,20
cdavin1,340,20,188,20,20,20,20,20,20,20,20,20,20,20
cdelane2,313,0,198,20,0,20,20,20,20,20,20,20,20,20
cdelpila,320,20,194,20,20,20,20,10,20,20,20,20,20,20
cdenzel,340,20,200,20,20,20,20,20,20,20,20,20,20,20
cdevoto,340,20,194,20,20,20,20,20,20,20,20,20,20,20
cdiallo,340,0,200,20,20,20,20,20,20,0,20,20,20,20
cdieckma,320,20,200,20,20,20,20,20,20,20,20,20,20,20
cdimpel,335,20,185,20,20,20,20,20,20,20,20,20,20,20
cdito,340,20,200,10,20,20,20,20,20,20,20,20,20,20
cdonnel4,340,20,194,20,20,20,20,20,20,0,20,20,20,20
cdorsey1,340,20,200,20,20,20,0,20,20,20,20,20,20,20
cdowicz,340,20,200,20,20,20,10,20,20,20,20,20,20,20
cduggan,338,20,198,20,20,20,20,20,20,20,20,20,20,20
cdulal,320,20,200,20,20,20,20,20,20,20,20,20,20,0
cdunlea1,340,19,190,20,20,20,20,20,20,20,20,20,20,20
cdyke,340,20,186,20,10,20,20,20,20,20,20,10,10,20
cedmond3,272,20,188,20,20,20,20,20,20,20,20,20,20,20
cekanaya,326,20,194,20,20,20,20,20,20,20,20,0,20,0
celser,340,20,188,20,20,20,20,20,20,20,20,20,20,20
cemenalo,334,20,200,20,20,20,20,20,20,20,20,20,20,20
cesheric,340,20,200,20,20,20,20,20,20,10,20,20,20,20
cfagan4,340,20,200,20,20,20,20,20,20,20,20,20,20,20
cfamular,340,20,180,20,20,20,20,20,20,20,20,20,20,20
cfayne,332,20,184,20,20,20,20,0,20,20,20,20,20,20
cfennel1,326,20,200,20,20,20,20,20,20,20,20,20,20,0
cfish,340,15,200,20,20,20,20,20,20,20,20,20,20,20
cfitzgib,340,20,188,20,20,20,20,20,20,20,20,20,20,20
cfranke1,340,20,200,20,20,20,20,20,20,20,20,20,20,20
cfreema5,292,20,200,20,20,20,20,20,20,20,20,10,20,20
cfrentze,320,20,188,20,20,20,20,20,20,20,20,20,20,20
cgallag3,340,20,200,20,20,20,20,20,20,20,20,20,20,0
cgamboa,340,20,200,20,20,20,20,20,20,20,20,20,20,20
cganley,314,20,172,20,20,20,20,18,20,20,20,20,20,20
cgehan,320,20,200,20,20,20,20,20,20,20,20,20,20,20
cgoethal,307,20,186,20,20,20,20,20,20,20,20,20,20,20
cgorrie,340,20,200,20,20,20,20,0,20,20,20,20,20,20
cgotuaco,340,20,200,20,20,20,20,20,20,20,20,20,20,20
cgreeley,300,20,180,20,10,20,20,20,20,20,20,20,0,20
cgrunha1,320,20,200,20,20,20,20,20,20,20,20,20,20,20
cgrunha2,307,20,186,20,20,20,20,20,20,20,20,20,20,20
chanzel,307,20,194,20,20,20,20,20,20,0,20,20,20,20
chartma2,320,20,188,20,20,20,20,20,20,20,20,20,20,20
chemm,320,20,200,20,20,20,20,20,20,20,20,20,20,20
chickey3,340,20,194,20,20,20,20,20,20,20,20,20,20,20
cholmes6,203,20,188,10,20,20,20,0,20,20,20,0,20,0
chowell2,340,20,200,20,20,20,20,20,20,20,20,20,20,20
chu3,340,20,200,20,20,20,20,20,20,20,20,20,20,20
chult,340,20,200,20,20,20,20,20,20,20,20,20,20,20
chyry,340,20,196,20,20,20,20,20,20,20,20,20,20,20
cjacobs3,340,20,172,20,20,20,20,20,20,20,15,20,20,
cjaskows,330,20,190,20,20,20,20,20,20,20,20,20,20,20
cjoynes,340,20,194,20,20,20,20,20,20,20,20,20,20,20
ckenny2,330,20,200,20,20,20,20,20,20,20,20,20,20,20
cking9,340,10,,10,20,10,20,20,20,20,20,20,20,20
ckmet,300,20,188,20,20,20,20,20,20,0,20,20,20,20
ckotseos,307,20,200,20,20,20,20,20,20,20,20,20,20,20
ckronenb,340,20,163,20,20,20,20,20,0,10,20,20,20,20
ckuehl,285,20,190,20,20,18,20,20,20,17,20,19,20,20
ckuse1,301,20,172,20,20,20,20,20,20,20,20,20,20,20
clachena,340,20,188,20,20,20,15,20,20,20,20,20,20,20
clance1,301,20,188,20,20,20,20,20,20,20,20,20,20,20
clangle1,320,20,188,20,20,20,20,20,20,20,20,20,20,0
claracey,340,20,188,20,20,20,20,20,20,20,20,20,20,20
clawlor1,340,20,200,20,20,20,20,20,20,20,20,20,20,20
clee30,340,20,188,20,20,20,20,20,20,20,20,20,20,20
clewis13,334,20,200,20,20,20,20,20,20,20,20,20,20,0
clink3,310,20,175,20,0,20,20,20,20,20,20,20,20,20
clink4,340,20,200,20,20,20,20,20,20,20,20,20,20,20
cllanter,326,20,200,20,20,20,20,20,20,20,20,20,20,20
clogo,340,20,200,20,20,20,20,20,20,20,20,20,20,20
clowney1,340,20,188,20,20,20,20,20,20,20,20,20,20,20
clucas4,340,20,200,20,20,20,20,20,20,20,20,20,20,20
clucey,340,20,194,20,20,20,20,20,20,20,20,20,20,20
clutz,340,20,200,20,20,20,20,20,20,20,20,20,20,20
cmacclar,340,20,200,20,20,20,20,20,20,20,20,20,20,20
cmackle,340,20,172,20,20,20,20,20,20,20,20,,20,20
cmacquar,320,20,190,20,20,10,20,20,20,20,20,20,20,20
cmagnuss,340,20,188,20,20,20,20,20,20,20,20,20,20,20
cmaher3,320,20,200,20,20,20,20,20,20,20,20,20,20,20
cmarrder,326,20,200,20,20,20,20,20,20,20,20,20,20,20
cmartyak,310,20,184,20,20,20,20,20,20,20,20,20,20,20
cmbonu,307,0,200,20,20,20,20,20,20,20,20,20,20,20
cmcconv1,330,20,185,20,20,20,20,20,20,20,20,20,20,20
cmcdono6,320,20,200,20,20,20,20,20,20,20,20,20,20,20
cmcmenem,326,20,200,20,20,20,20,20,20,20,20,20,20,20
cmeissn1,326,20,200,20,20,20,20,20,20,20,20,0,20,20
cmeyers3,320,20,188,20,20,20,20,20,20,20,20,20,20,20
cmille39,340,20,200,20,20,20,20,20,20,20,20,20,20,20
cminetos,340,20,194,20,20,20,20,20,20,20,20,20,20,20
cmitche8,334,20,188,20,20,20,20,20,20,20,20,20,20,20
cmoreno5,325,20,185,20,20,20,20,20,20,20,20,20,20,20
cmorin2,334,0,154,20,20,20,0,,20,0,20,20,20,20
cmorton2,327,20,190,20,20,20,20,20,20,20,20,20,20,20
cmulshin,320,20,194,20,20,20,20,20,20,20,20,20,20,20
cmurillo,340,20,197,20,20,20,20,20,20,20,20,20,20,20
cmyers11,340,20,100,20,20,20,20,20,20,20,20,20,20,20
cnilsen,325,20,200,20,20,20,15,20,15,20,20,20,20,20
cnobuhar,340,10,194,20,20,20,20,20,20,10,20,20,20,20
coakley2,340,20,200,20,20,20,20,20,20,20,20,20,20,20
coatway,340,20,200,20,20,20,20,20,20,20,20,20,20,20
cocallag,320,20,195,20,10,20,0,20,10,0,20,20,20,20
coleary1,340,20,194,20,20,20,20,20,20,20,20,20,20,20
coleary2,340,20,200,20,20,20,20,20,20,20,20,20,20,20
coppenhe,340,20,200,20,20,20,20,20,20,20,20,20,20,20
cosulli2,311,10,188,20,20,20,20,20,10,20,20,20,20,20
cott,340,20,188,20,20,20,20,20,20,20,20,20,20,20
cpalor,340,20,188,20,20,20,20,20,20,,20,20,20,20
cpantin,320,20,200,20,20,20,20,20,20,20,0,20,20,20
cpawelek,325,20,200,20,20,20,20,20,20,20,20,20,20,0
cpickfor,340,20,200,20,20,20,20,20,20,20,20,10,15,20
cprince,340,20,200,20,20,20,20,20,20,20,20,20,20,20
cquast,326,20,180,20,20,20,20,20,20,20,20,20,20,20
cragsdal,340,20,200,20,20,20,10,10,20,10,20,20,20,20
cramos5,326,20,200,20,20,20,20,20,20,20,20,20,20,20
creid4,326,20,200,20,20,20,20,20,20,20,20,20,20,20
creitan,324,20,188,20,20,20,20,20,15,20,20,20,20,20
