student_assignment_grade,struc0,struc1,struc2,struc3
student47_Prompt9_1.0,4,1,5,24
student47_Prompt3_1.0,0,1,0,5
student47_Prompt4_1.0,0,4,4,16
student47_Prompt6_1.0,3,4,4,30
student47_Integration3_1.0,0,0,2,4
student47_Prompt10_1.0,0,0,2,8
student48_Capstone_1.0,4,3,4,12
student48_Prompt7_1.0,2,5,1,23
student48_Prompt2_1.0,3,4,5,26
student48_Prompt5_1.0,2,3,3,18
student48_Prompt9_1.0,0,1,0,5
student48_Prompt8_1.0,4,3,6,10
student48_Prompt4_1.0,1,2,6,23
student48_Prompt10_1.0,0,1,0,13
student49_Capstone_0.9,0,0,0,4
student49_Prompt7_1.0,0,2,1,6
student49_Prompt9_0.0,0,0,0,2
student49_Prompt3_1.0,0,0,0,5
student49_Prompt11_1.0,0,0,0,4
student49_Prompt6_1.0,0,0,0,2
student49_Prompt8_0.0,8,5,4,26
student49_Prompt5_1.0,0,2,2,16
student49_Prompt4_1.0,0,0,0,2
student49_Prompt2_1.0,5,3,11,24
student49_Prompt10_1.0,0,0,0,2
student49_Integration3_0.8,5,2,6,27
student50_Capstone_1.0,2,1,6,12
student50_Prompt7_1.0,1,1,0,10
student50_Prompt2_1.0,4,1,5,13
student50_Prompt5_1.0,1,1,0,10
student50_Prompt9_1.0,1,2,0,10
student50_Prompt3_1.0,0,0,0,6
student50_Prompt8_1.0,1,1,5,11
student50_Prompt4_1.0,0,1,2,9
student50_Prompt6_1.0,0,2,2,14
student50_Prompt10_1.0,0,0,0,4
student51_Prompt7_1.0,1,3,3,10
student51_Prompt5_1.0,1,1,2,12
student51_Prompt9_1.0,1,5,2,12
student51_Prompt3_1.0,0,0,0,2
student51_Prompt11_1.0,2,1,2,6
student51_Prompt2_1.0,2,1,0,11
student51_Prompt6_0.0,0,0,0,8
student51_Integration3_1.0,1,1,1,9
student51_Prompt10_1.0,1,1,1,4
student52_Capstone_1.0,3,1,4,8
student52_Prompt7_1.0,1,1,0,8
student52_Prompt5_1.0,2,4,1,16
student52_Prompt9_1.0,1,3,2,8
student52_Prompt3_1.0,1,2,1,6
student52_Prompt2_1.0,1,3,9,20
student52_Prompt6_1.0,0,1,0,5
student52_Integration3_0.9,0,0,1,8
student52_Prompt10_1.0,2,4,3,15
student53_Capstone_0.9,4,2,4,11
student53_Prompt7_1.0,0,3,1,11
student53_Prompt2_1.0,4,1,16,34
student53_Prompt5_1.0,4,3,9,21
student53_Prompt9_1.0,2,4,4,16
student53_Prompt3_1.0,0,1,0,9
student53_Prompt8_1.0,2,2,4,11
student53_Prompt4_1.0,0,1,4,16
student53_Prompt6_1.0,0,1,0,7
student53_Integration3_0.9,1,2,9,32
student54_Capstone_1.0,7,5,11,26
student54_Prompt7_1.0,0,0,0,7
student54_Prompt2_1.0,1,3,5,24
student54_Prompt5_0.9,1,3,1,12
student54_Prompt9_1.0,0,3,1,8
student54_Prompt3_1.0,0,2,0,7
student54_Prompt8_1.0,2,6,3,12
student54_Prompt4_1.0,0,0,0,2
student54_Prompt6_1.0,0,1,0,9
student54_Integration3_1.0,4,0,11,27
student54_Prompt10_1.0,1,1,1,7
student55_Capstone_0.9,2,1,4,7
student55_Prompt7_1.0,0,2,0,5
student55_Prompt5_1.0,1,3,0,10
student55_Prompt4_1.0,0,2,1,14
student55_Prompt3_1.0,0,1,0,9
student55_Prompt2_1.0,5,1,8,22
student55_Prompt6_1.0,0,2,1,15
student55_Integration3_0.9,2,0,0,16
student55_Prompt10_1.0,1,2,2,14
student56_Prompt9_1.0,6,4,1,13
student56_Prompt2_1.0,5,0,6,10
student56_Prompt7_1.0,2,2,2,10
student56_Integration3_1.0,7,7,12,34
student56_Prompt8_1.0,2,3,0,10
student56_Prompt4_1.0,4,5,1,14
student56_Prompt6_1.0,0,0,0,4
student57_Capstone_1.0,3,1,5,11
student57_Prompt9_1.0,2,2,1,11
student57_Prompt3_1.0,0,0,0,2
student57_Prompt2_1.0,2,3,8,19
student57_Prompt6_1.0,1,2,0,16
student57_Prompt10_1.0,1,1,1,8
student58_Prompt9_1.0,0,1,6,13
student58_Prompt5_1.0,1,2,9,26
student58_Prompt7_1.0,0,2,3,13
student58_Integration3_1.0,0,2,4,15
student58_Prompt11_1.0,0,0,1,7
student58_Prompt8_1.0,0,0,0,7
student58_Prompt4_1.0,1,0,2,9
student58_Prompt6_1.0,2,1,2,16
student58_Prompt10_1.0,0,0,0,5
student59_Capstone_1.0,2,0,5,7
student59_Prompt7_1.0,0,3,3,13
student59_Prompt9_1.0,0,0,0,4
student59_Prompt3_1.0,0,1,0,7
student59_Prompt11_1.0,0,0,0,6
student59_Prompt8_1.0,7,6,5,20
student59_Prompt2_1.0,3,1,6,17
student59_Prompt6_1.0,1,2,1,8
student59_Integration3_1.0,1,1,5,13
student59_Prompt10_1.0,0,0,0,8
student60_Capstone_1.0,4,3,7,25
student60_Prompt7_1.0,1,3,3,14
student60_Prompt5_1.0,1,3,1,13
student60_Prompt9_1.0,3,3,4,18
student60_Prompt3_1.0,0,2,0,7
student60_Prompt8_1.0,0,0,0,4
student60_Prompt4_1.0,0,0,0,5
student60_Prompt6_1.0,0,0,0,4
student60_Integration3_1.0,1,2,5,19
student60_Prompt10_1.0,1,1,1,6
student61_Integration3_1.0,2,3,4,12
student61_Prompt11_1.0,2,2,1,10
student61_Prompt10_1.0,4,4,1,15
student61_Prompt6_1.0,6,5,2,38
student61_Prompt4_1.0,1,2,0,10
student62_Capstone_1.0,4,2,4,16
student62_Prompt8_1.0,3,3,1,10
student62_Prompt2_1.0,2,1,3,15
student62_Prompt5_1.0,1,2,1,13
student62_Prompt9_0.0,6,3,1,16
student62_Prompt3_1.0,0,0,2,4
student62_Prompt4_1.0,4,5,2,13
student62_Prompt6_1.0,0,0,0,2
student62_Integration3_0.9,5,5,4,40
student62_Prompt10_1.0,0,0,0,3
student63_Prompt9_1.0,0,1,1,8
student63_Prompt5_1.0,0,2,1,9
student63_Prompt7_1.0,0,2,1,11
student63_Integration3_1.0,4,0,11,28
student63_Prompt11_1.0,3,1,3,9
student63_Prompt8_1.0,0,0,1,9
student63_Prompt4_1.0,1,0,1,12
student63_Prompt6_1.0,0,2,0,9
student63_Prompt10_1.0,1,1,1,11
student64_Capstone_1.0,4,1,8,19
student64_Prompt8_1.0,6,4,6,22
student64_Prompt2_1.0,0,0,0,2
student64_Prompt9_1.0,3,4,6,20
student64_Prompt3_1.0,1,2,4,20
student64_Prompt11_1.0,8,3,10,44
student64_Prompt4_1.0,2,4,5,36
student64_Integration3_1.0,7,3,6,41
student65_Prompt9_1.0,3,2,1,13
student65_Prompt5_1.0,1,3,6,21
student65_Prompt7_1.0,2,3,2,17
student65_Integration3_1.0,7,3,4,24
student65_Prompt8_1.0,2,2,1,14
student65_Prompt4_1.0,3,2,3,20
student65_Prompt6_1.0,1,3,1,14
student65_Prompt10_1.0,2,4,3,20
student66_Prompt9_1.0,2,5,2,14
student66_Prompt3_1.0,0,0,0,2
student66_Prompt11_1.0,2,1,2,6
student66_Prompt2_1.0,4,2,6,14
student66_Prompt6_1.0,0,2,0,10
student66_Prompt10_1.0,1,1,1,4
student67_Capstone_1.0,0,0,2,1
student67_Prompt7_1.0,0,0,0,8
student67_Prompt2_1.0,7,2,8,14
student67_Prompt5_1.0,0,0,0,5
student67_Prompt9_1.0,0,2,3,12
student67_Prompt3_1.0,1,0,2,9
student67_Prompt11_1.0,2,3,2,12
student67_Prompt4_1.0,1,0,1,7
student67_Prompt6_1.0,0,0,2,6
student67_Prompt10_1.0,1,1,1,3
student68_Capstone_1.0,9,8,10,19
student68_Prompt7_1.0,1,2,3,10
student68_Prompt2_1.0,0,1,10,19
student68_Prompt5_1.0,1,0,0,9
student68_Prompt8_1.0,1,1,4,11
student68_Prompt3_1.0,0,1,0,6
student68_Prompt11_1.0,2,1,2,9
student68_Prompt4_1.0,1,1,0,8
student68_Prompt6_1.0,0,2,2,7
student68_Integration3_1.0,2,3,0,19
student68_Prompt10_1.0,2,1,5,9
student69_Prompt9_1.0,0,0,0,3
student69_Prompt5_1.0,5,8,4,25
student69_Prompt7_1.0,0,0,0,5
student69_Prompt3_1.0,0,0,0,6
student69_Prompt11_1.0,0,0,0,3
student69_Prompt8_1.0,0,0,0,2
student69_Prompt4_1.0,2,3,0,10
student69_Prompt1_1.0,0,0,0,5
student69_Integration3_1.0,1,0,0,11
student69_Prompt6_1.0,11,10,9,33
student70_Capstone_1.0,3,1,8,14
student70_Prompt7_1.0,7,10,6,31
student70_Prompt2_1.0,0,0,0,2
student70_Prompt5_1.0,2,3,7,22
student70_Prompt9_1.0,0,0,0,3
student70_Prompt3_1.0,0,0,1,7
student70_Prompt11_1.0,0,0,0,3
student70_Prompt8_1.0,0,0,0,2
student70_Prompt4_1.0,3,4,1,16
student70_Prompt6_1.0,1,4,3,21
student70_Prompt10_1.0,1,3,0,11
student71_Capstone_1.0,2,3,1,10
student71_Prompt7_1.0,3,4,3,22
student71_Prompt5_1.0,0,0,2,5
student71_Prompt4_1.0,4,2,3,27
student71_Prompt3_1.0,0,0,1,10
student71_Prompt6_1.0,4,3,5,16
student71_Prompt10_1.0,0,0,0,7
student72_Capstone_1.0,2,0,11,18
student72_Prompt7_1.0,1,3,4,14
student72_Prompt5_1.0,2,2,2,9
student72_Prompt8_1.0,1,0,1,8
student72_Prompt3_1.0,0,0,0,7
student72_Prompt6_1.0,0,2,0,7
student72_Integration3_1.0,3,1,3,20
student72_Prompt10_1.0,1,1,2,14
student73_Prompt9_1.0,4,6,3,18
student73_Prompt5_1.0,2,3,0,13
student73_Prompt7_1.0,0,0,0,2
student73_Integration3_1.0,3,0,0,30
student73_Prompt8_1.0,0,0,2,7
student73_Prompt4_1.0,0,1,2,16
student73_Prompt6_1.0,0,1,0,11
student73_Prompt10_1.0,0,0,2,3
student74_Capstone_1.0,6,3,8,19
student74_Prompt7_1.0,0,2,0,7
student74_Prompt9_1.0,2,1,3,12
student74_Prompt3_1.0,0,1,0,6
student74_Prompt8_1.0,2,3,3,15
student74_Prompt2_1.0,0,1,2,10
student74_Prompt6_1.0,1,2,1,7
student74_Integration3_1.0,1,1,2,10
student74_Prompt10_1.0,2,5,1,16
student75_Capstone_1.0,4,2,4,13
student75_Prompt7_1.0,1,5,7,25
student75_Prompt2_1.0,0,0,0,5
