source,target,value
8|,12|8,0.7415730337
8|,25|,0.0153403643
8|,9|,0.0153403643
8|,32|,0.012464046
8|,23|,0.0115052733
8|,37|,0.6500479386
8|,36|8,1
12|22,28|12,1
27|12,37|,1
1|,36|,0.1254355401
1|,29|1,0.606557377
1|,0|,0.0226480836
1|,12|1,0.8461538462
1|,25|1,0.487804878
1|,37|,0.5069686411
12|26,37|,1
9|36,37|,1
15|,0|15,0.8691099476
15|,36|15,0.3170731707
15|,19|,0.0265339967
15|,12|15,0.2820512821
15|,25|,0.0281923715
15|,37|,0.1393034826
15|,21|15,0.4042553191
36|29,1|36,0.1818181818
36|29,12|,0.8181818182
23|5,16|23,0.4516129032
23|5,37|,0.5483870968
4|,36|,0.1075268817
4|,25|4,0.7179487179
4|,12|4,1
4|,30|4,1
4|,10|4,1
4|,37|,0.438172043
2|26,33|2,0.3703703704
2|26,37|,0.6296296296
25|2,26|25,1
26|25,33|,1
5|,36|,0.0526315789
5|,23|5,0.5483870968
5|,12|,0.0723684211
5|,16|,0.6052631579
5|,37|,0.1611842105
12|1,29|,0.1538461538
12|1,37|,0.8461538462
3|24,27|3,0.56
3|24,37|,0.44
6|25,20|6,1
21|12,12|21,0.2558139535
21|12,37|,0.7441860465
12|6,37|,1
20|25,6|20,1
30|4,10|30,1
1|25,29|1,0.4102564103
1|25,37|,0.5897435897
28|,36|,0.0936170213
28|,12|28,1
28|,34|28,0.45
28|,22|28,1
28|,37|,0.3106382979
30|,36|30,0.5714285714
30|,25|30,1
30|,12|30,1
30|,10|30,1
30|,37|,0.2316384181
30|,4|,0.4745762712
20|6,12|20,0.1604938272
20|6,19|20,0.2962962963
20|6,37|,0.5432098765
12|0,21|12,0.2950819672
12|0,37|,0.7049180328
0|,15|0,1
0|,20|,0.0248962656
0|,37|,0.2282157676
0|,19|,0.0193637621
0|,25|,0.0262793914
0|,36|0,0.2043010753
0|,12|0,0.7049180328
0|,21|,0.3195020747
25|17,36|25,0.1473684211
25|17,12|25,0.3052631579
25|17,37|,0.5473684211
18|25,37|,1
12|21,37|,1
12|33,3|,0.1587301587
12|33,37|,0.8412698413
25|,11|25,0.3913043478
25|,10|25,1
25|,20|25,1
25|,37|,0.3442475218
25|,4|,0.0054070291
25|,15|25,0.2619047619
25|,26|25,1
25|,5|,0.0030039051
25|,36|25,0.0384615385
25|,23|25,1
25|,6|25,1
25|,2|25,1
25|,1|25,0.5897435897
25|,28|,0.0048062481
25|,19|25,1
25|,17|25,1
25|,9|,0.0036046861
25|,29|25,0.2467532468
25|,18|25,1
25|,13|,0.019525383
25|,3|25,1
25|,12|25,0.029925187
25|,24|,0.0069089817
25|,22|25,1
25|,31|25,1
25|,30|,0.0078101532
25|,16|25,1
25|,32|25,1
25|,33|,0.0078101532
25|,0|25,0.2549019608
25|,8|25,1
25|,7|,0.0057074196
25|,21|,0.0033042956
25|,34|25,0.3978494624
25|21,37|,1
11|36,37|,1
31|,36|,0.0776859504
31|,29|31,1
31|,7|,0.0247933884
31|,25|,0.0347107438
31|,18|31,1
31|,37|,0.2066115702
31|,12|31,0.1331360947
25|33,37|,1
36|0,21|36,0.2043010753
36|0,15|36,0.2258064516
36|0,12|,0.5698924731
23|36,5|23,1
29|,25|29,1
29|,0|,0.018707483
29|,15|,0.0238095238
29|,12|29,0.275
29|,1|,0.4914965986
29|,36|29,0.1818181818
29|,37|,0.2091836735
36|,9|36,1
36|,27|36,1
36|,19|36,1
36|,16|36,1
36|,18|36,1
36|,13|36,1
36|,8|36,1
36|,34|,0.0031489864
36|,25|36,0.661971831
36|,21|36,1
36|,28|,0.0023617398
36|,30|,0.0041330447
36|,12|,0.7862625467
36|,1|36,1
36|,3|,0.0068884078
36|,2|36,1
36|,6|36,1
36|,24|,0.0047234796
36|,26|36,1
36|,0|36,0.303030303
36|,11|36,1
36|,20|36,1
36|,32|36,1
36|,4|,0.0043298563
36|,23|36,1
36|,29|36,0.3846153846
36|,31|,0.0027553631
36|,15|36,0.5208333333
36|,33|,0.0043298563
36|,17|36,1
36|,10|36,1
36|,7|,0.0053139146
36|,22|36,0.3333333333
8|25,37|,1
16|25,37|,1
12|4,37|,1
25|27,37|,1
6|,12|6,1
6|,19|6,0.7586206897
6|,25|6,1
6|,36|6,0.1886792453
6|,20|6,0.2962962963
6|,37|,0.3564899452
13|11,36|,0.1904761905
13|11,12|13,0.2857142857
13|11,37|,0.5238095238
13|,36|,0.1054365733
13|,12|13,0.4838709677
13|,25|13,0.6296296296
13|,11|13,0.3536585366
13|,37|,0.3294892916
13|,18|,0.018121911
34|25,22|34,0.3978494624
34|25,12|34,0.1290322581
34|25,36|34,0.1075268817
34|25,28|34,0.1290322581
34|25,37|,0.2365591398
18|7,37|,0.5833333333
18|7,25|18,0.4166666667
27|36,37|,1
2|33,26|,1
12|34,25|,0.1486486486
12|34,22|,0.2702702703
12|34,37|,0.5810810811
36|30,4|,0.4285714286
36|30,12|,0.5714285714
28|12,22|28,0.3636363636
28|12,34|28,0.303030303
28|12,37|,0.3333333333
6|19,20|6,0.56
6|19,12|6,0.1866666667
6|19,37|,0.2533333333
37|,3|,0.0005403736
37|,16|37,1
37|,5|,0.0005789717
37|,8|,0.0004245793
37|,12|,0.9965647676
37|,15|,0.0004245793
37|,25|,0.0004631774
37|,32|,0.0003859812
20|,36|,0.1020408163
20|,19|20,0.6086956522
20|,12|20,1
20|,25|,0.0282574568
20|,6|20,0.1712328767
20|,37|,0.2119309262
36|26,33|,0.5
36|26,12|,0.5
36|25,13|36,0.0384615385
36|25,12|,0.9615384615
7|18,36|,0.2101910828
7|18,25|7,0.2738853503
7|18,37|,0.2993630573
7|18,12|7,0.2165605096
8|36,37|,1
29|31,1|,1
12|9,36|,0.1881188119
12|9,37|,0.8118811881
2|25,26|,1
11|18,37|,1
17|36,37|,1
12|13,36|,0.1290322581
12|13,25|,0.2043010753
12|13,11|,0.1827956989
12|13,37|,0.4838709677
22|,36|,0.0308008214
22|,34|22,1
22|,28|,0.7453798768
22|,25|,0.0246406571
22|,12|22,1
22|,37|,0.0821355236
19|25,20|19,1
33|12,26|33,0.1714285714
33|12,2|33,0.2428571429
33|12,37|,0.3571428571
33|12,12|33,0.2285714286
17|32,12|17,0.1884057971
17|32,36|17,0.1333333333
17|32,25|17,0.252173913
17|32,37|,0.4260869565
25|34,22|25,0.1666666667
25|34,12|25,0.25
25|34,37|,0.5833333333
1|36,37|,1
9|,36|9,1
9|,19|9,1
9|,25|,0.017905103
9|,11|9,1
9|,37|,0.5505819158
9|,18|,0.0152193375
9|,0|,0.0143240824
9|,8|,0.0116383169
9|,20|,0.0152193375
9|,12|9,0.8118811881
25|13,11|25,0.3703703704
25|13,37|,0.6296296296
10|30,37|,1
34|28,37|,0.45
34|28,12|34,0.2277777778
34|28,36|34,0.1
34|28,25|34,0.2222222222
32|17,36|32,0.1354166667
32|17,12|32,0.1875
32|17,37|,0.6770833333
17|,12|17,0.8552631579
17|,36|17,1
17|,25|17,0.5473684211
17|,32|17,0.6770833333
17|,37|,0.3464163823
3|25,24|3,1
25|36,36|25,0.1549295775
25|36,12|25,0.1830985915
25|36,37|,0.661971831
29|25,1|,0.7532467532
29|25,37|,0.2467532468
0|15,36|0,0.0732984293
0|15,12|0,0.057591623
0|15,21|,0.8691099476
36|6,19|36,0.1886792453
36|6,12|,0.8113207547
18|,12|18,0.7435897436
18|,31|,0.0174672489
18|,11|18,1
18|,36|18,0.16
18|,37|,0.2547307132
18|,7|18,0.2993630573
18|,0|,0.0436681223
18|,25|18,0.7045454545
18|,32|,0.0174672489
18|,13|,0.0160116448
25|30,37|,1
10|4,30|,1
12|10,37|,1
28|34,22|28,0.4285714286
28|34,37|,0.5714285714
25|4,12|25,0.2820512821
25|4,37|,0.7179487179
12|30,37|,1
36|3,24|,1
10|,36|,0.0317164179
10|,25|,0.0298507463
10|,12|10,1
10|,30|,0.6940298507
10|,37|,0.1399253731
10|,4|,0.0354477612
16|,36|,0.1020408163
16|,12|16,1
16|,25|16,1
16|,23|,0.0437317784
16|,37|,0.583090379
16|,5|16,1
12|,15|,0.0105870149
12|,28|12,0.3636363636
12|,37|,0.5886014157
12|,5|,0.0016780571
12|,21|12,0.7441860465
12|,33|12,0.3571428571
12|,2|,0.0100378326
12|,22|,0.0078105931
12|,16|12,0.6363636364
12|,9|,0.032066146
12|,3|,0.0095801806
12|,23|,0.0052172321
12|,30|12,0.4328358209
12|,6|12,0.2133333333
12|,0|12,0.2918454936
12|,25|,0.0657798389
12|,18|,0.0131498658
12|,31|,0.0159262875
12|,11|,0.0071698804
12|,20|,0.0056748841
12|,34|,0.0068952892
12|,32|,0.0128752746
12|,17|12,0.2573529412
12|,36|,0.0848181596
12|,4|12,0.3389830508
12|,29|,0.010373444
12|,19|,0.0100378326
12|,10|,0.0106480351
12|,26|12,0.223880597
12|,7|,0.0056138638
12|,24|12,0.3805309735
12|,13|,0.0124176227
12|,8|,0.0300219673
12|,27|12,1
12|,1|,0.0057664144
19|6,12|19,0.2413793103
19|6,37|,0.7586206897
21|,36|,0.1098039216
21|,25|21,1
21|,0|21,0.7291666667
21|,12|21,1
21|,15|,0.0450980392
21|,37|,0.4647058824
36|2,26|36,0.5714285714
36|2,12|,0.4285714286
33|2,26|33,0.48
33|2,37|,0.52
26|33,2|26,0.4166666667
26|33,37|,0.5833333333
24|12,3|24,0.203539823
24|12,27|,0.2477876106
24|12,37|,0.3805309735
24|12,36|24,0.1681415929
19|20,6|19,0.3913043478
19|20,37|,0.6086956522
0|36,36|0,0.3333333333
0|36,21|,0.3636363636
0|36,37|,0.303030303
32|36,17|32,1
