student_assignment_grade,struc0,struc1,struc2,struc3,struc4,struc5,struc6,struc7,struc8,struc9,struc10,struc11,struc12,struc13,struc14,struc15
student6_Prompt2_0.2,0,0,0,4,1,1,1,1,1,1,1,1,1,1,1,1
student6_Prompt5_1.0,0,0,0,10,1,1,1,1,1,1,1,1,1,1,1,1
student6_Prompt4_1.0,2,2,2,13,1,1,1,1,1,1,1,1,1,1,1,1
student6_Prompt3_1.0,0,0,0,3,1,1,1,1,1,1,1,1,1,1,1,1
student6_Prompt10_1.0,2,3,4,22,1,1,1,1,1,1,1,1,1,1,1,1
student6_ePortfolio Link_1.0,0,0,0,3,1,1,1,1,1,1,1,1,1,1,1,1
student6_Prompt6_1.0,0,0,0,4,1,1,1,1,1,1,1,1,1,1,1,1
student6_Prompt7_1.0,1,1,1,11,1,1,1,1,1,1,1,1,1,1,1,1
student7_Prompt11_1.0,5,3,2,12,1,1,1,1,1,1,1,1,1,1,1,1
student7_Prompt8_1.0,0,2,3,13,1,1,1,1,1,1,1,1,1,1,1,1
student7_Prompt2_1.0,7,5,14,31,1,1,1,1,1,1,1,1,1,1,1,1
student7_Prompt5_1.0,1,2,3,17,1,1,1,1,1,1,1,1,1,1,1,1
student7_Prompt3_1.0,3,2,2,14,1,1,1,1,1,1,1,1,1,1,1,1
student7_Prompt10_1.0,1,1,3,10,1,1,1,1,1,1,1,1,1,1,1,1
student7_ePortfolio Link_1.0,0,0,0,5,1,1,1,1,1,1,1,1,1,1,1,1
student7_Prompt6_1.0,3,2,3,17,1,1,1,1,1,1,1,1,1,1,1,1
student7_Integration3_1.0,0,0,0,5,1,1,1,1,1,1,1,1,1,1,1,1
student8_Capstone_1.0,5,6,10,23,1,1,1,1,1,1,1,1,1,1,1,1
student8_Prompt2_1.0,3,2,4,10,1,1,1,1,1,1,1,1,1,1,1,1
student8_Prompt9_1.0,4,5,2,11,1,1,1,1,1,1,1,1,1,1,1,1
student8_Prompt3_1.0,0,0,2,4,1,1,1,1,1,1,1,1,1,1,1,1
student8_Prompt10_1.0,4,2,1,12,1,1,1,1,1,1,1,1,1,1,1,1
student8_ePortfolio Link_1.0,0,0,1,12,1,1,1,1,1,1,1,1,1,1,1,1
student8_Prompt6_1.0,7,5,3,22,1,1,1,1,1,1,1,1,1,1,1,1
student8_Prompt8_1.0,2,2,0,8,1,1,1,1,1,1,1,1,1,1,1,1
student9_Prompt11_1.0,4,0,2,12,1,1,1,1,1,1,1,1,1,1,1,1
student9_Prompt8_1.0,1,1,2,10,1,1,1,1,1,1,1,1,1,1,1,1
student9_Prompt2_1.0,4,4,5,13,1,1,1,1,1,1,1,1,1,1,1,1
student9_Prompt3_1.0,0,1,0,8,1,1,1,1,1,1,1,1,1,1,1,1
student9_Prompt9_1.0,1,0,1,7,1,1,1,1,1,1,1,1,1,1,1,1
student9_ePortfolio Link_1.0,0,0,0,4,1,1,1,1,1,1,1,1,1,1,1,1
student9_Prompt6_1.0,1,0,3,9,1,1,1,1,1,1,1,1,1,1,1,1
student9_Prompt7_1.0,2,0,2,9,1,1,1,1,1,1,1,1,1,1,1,1
student10_Prompt11_1.0,0,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1
student10_Capstone_1.0,5,6,14,26,1,1,1,1,1,1,1,1,1,1,1,1
student10_Prompt2_1.0,1,1,3,7,1,1,1,1,1,1,1,1,1,1,1,1
student10_Prompt5_1.0,3,3,6,20,1,1,1,1,1,1,1,1,1,1,1,1
student10_Prompt3_1.0,1,1,0,9,1,1,1,1,1,1,1,1,1,1,1,1
student10_Prompt10_1.0,2,2,4,12,1,1,1,1,1,1,1,1,1,1,1,1
student10_Prompt6_1.0,2,1,2,9,1,1,1,1,1,1,1,1,1,1,1,1
student10_Prompt8_1.0,2,3,5,19,1,1,1,1,1,1,1,1,1,1,1,1
student10_Prompt4_1.0,3,3,4,22,1,1,1,1,1,1,1,1,1,1,1,1
student10_Prompt9_1.0,5,2,7,20,1,1,1,1,1,1,1,1,1,1,1,1
student10_ePortfolio Link_1.0,0,0,1,6,1,1,1,1,1,1,1,1,1,1,1,1
student10_Prompt7_1.0,4,1,2,8,1,1,1,1,1,1,1,1,1,1,1,1
student11_ePortfolio Link_1.0,5,4,1,20,1,1,1,1,1,1,1,1,1,1,1,1
student11_Capstone_1.0,2,2,9,29,1,1,1,1,1,1,1,1,1,1,1,1
student11_Integration3_1.0,2,7,8,31,1,1,1,1,1,1,1,1,1,1,1,1
student11_Prompt5_1.0,2,0,1,12,1,1,1,1,1,1,1,1,1,1,1,1
student11_Prompt4_1.0,2,2,1,8,1,1,1,1,1,1,1,1,1,1,1,1
student11_Prompt10_1.0,1,1,1,8,1,1,1,1,1,1,1,1,1,1,1,1
student11_Prompt9_1.0,3,5,6,27,1,1,1,1,1,1,1,1,1,1,1,1
student11_Prompt6_1.0,3,1,2,13,1,1,1,1,1,1,1,1,1,1,1,1
student11_Prompt7_1.0,3,3,1,12,1,1,1,1,1,1,1,1,1,1,1,1
student11_Prompt8_1.0,2,2,5,22,1,1,1,1,1,1,1,1,1,1,1,1
student12_Prompt11_1.0,3,2,1,12,1,1,1,1,1,1,1,1,1,1,1,1
student12_Capstone_0.9,5,5,7,17,1,1,1,1,1,1,1,1,1,1,1,1
student12_Prompt2_1.0,2,1,4,12,1,1,1,1,1,1,1,1,1,1,1,1
student12_Prompt5_1.0,0,0,0,9,1,1,1,1,1,1,1,1,1,1,1,1
student12_Prompt4_1.0,2,2,1,8,1,1,1,1,1,1,1,1,1,1,1,1
student12_Prompt3_1.0,0,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1
student12_Prompt10_1.0,4,2,2,10,1,1,1,1,1,1,1,1,1,1,1,1
student12_Prompt7_1.0,2,2,2,12,1,1,1,1,1,1,1,1,1,1,1,1
student12_Prompt9_1.0,0,2,3,14,1,1,1,1,1,1,1,1,1,1,1,1
student12_Integration3_0.9,3,3,0,22,1,1,1,1,1,1,1,1,1,1,1,1
student12_ePortfolio Link_1.0,0,3,3,10,1,1,1,1,1,1,1,1,1,1,1,1
student13_ePortfolio Link_1.0,1,3,5,12,1,1,1,1,1,1,1,1,1,1,1,1
student13_Capstone_1.0,0,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1
student13_Integration3_1.0,2,7,4,35,1,1,1,1,1,1,1,1,1,1,1,1
student13_Prompt5_1.0,2,2,0,11,1,1,1,1,1,1,1,1,1,1,1,1
student13_Prompt4_1.0,3,3,3,12,1,1,1,1,1,1,1,1,1,1,1,1
student13_Prompt3_1.0,1,1,1,10,1,1,1,1,1,1,1,1,1,1,1,1
student13_Prompt10_1.0,2,1,2,8,1,1,1,1,1,1,1,1,1,1,1,1
student13_Prompt9_1.0,1,1,4,12,1,1,1,1,1,1,1,1,1,1,1,1
student13_Prompt6_1.0,2,0,0,6,1,1,1,1,1,1,1,1,1,1,1,1
student13_Prompt7_1.0,9,2,5,24,1,1,1,1,1,1,1,1,1,1,1,1
student13_Prompt8_1.0,0,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1
student14_Prompt11_1.0,4,3,2,8,1,1,1,1,1,1,1,1,1,1,1,1
student14_Capstone_0.9,0,0,2,4,1,1,1,1,1,1,1,1,1,1,1,1
student14_Prompt2_1.0,1,2,7,23,1,1,1,1,1,1,1,1,1,1,1,1
student14_Prompt5_1.0,2,1,2,14,1,1,1,1,1,1,1,1,1,1,1,1
student14_Prompt4_1.0,1,2,4,17,1,1,1,1,1,1,1,1,1,1,1,1
student14_Prompt3_1.0,1,2,0,15,1,1,1,1,1,1,1,1,1,1,1,1
student14_Prompt10_1.0,0,0,0,5,1,1,1,1,1,1,1,1,1,1,1,1
student14_ePortfolio Link_1.0,2,1,2,9,1,1,1,1,1,1,1,1,1,1,1,1
student14_Prompt6_1.0,1,0,0,9,1,1,1,1,1,1,1,1,1,1,1,1
student14_Prompt7_1.0,3,0,2,9,1,1,1,1,1,1,1,1,1,1,1,1
student14_Prompt8_1.0,0,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1
student15_Capstone_1.0,7,2,6,22,1,1,1,1,1,1,1,1,1,1,1,1
student15_Integration3_0.9,2,5,7,18,1,1,1,1,1,1,1,1,1,1,1,1
student15_Prompt5_1.0,3,1,2,12,1,1,1,1,1,1,1,1,1,1,1,1
student15_Prompt4_1.0,3,1,2,20,1,1,1,1,1,1,1,1,1,1,1,1
student15_Prompt2_1.0,4,4,6,16,1,1,1,1,1,1,1,1,1,1,1,1
student15_ePortfolio Link_1.0,0,0,0,5,1,1,1,1,1,1,1,1,1,1,1,1
student15_Prompt9_1.0,0,1,1,11,1,1,1,1,1,1,1,1,1,1,1,1
student15_Prompt7_1.0,2,1,0,13,1,1,1,1,1,1,1,1,1,1,1,1
student16_Prompt8_1.0,4,3,6,24,1,1,1,1,1,1,1,1,1,1,1,1
student16_Prompt2_1.0,5,5,8,21,1,1,1,1,1,1,1,1,1,1,1,1
student16_Prompt3_1.0,2,3,6,22,1,1,1,1,1,1,1,1,1,1,1,1
student16_Prompt10_1.0,6,2,4,18,1,1,1,1,1,1,1,1,1,1,1,1
student16_ePortfolio Link_1.0,0,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1
student16_Prompt6_1.0,3,1,1,9,1,1,1,1,1,1,1,1,1,1,1,1
student16_Prompt7_1.0,4,1,2,8,1,1,1,1,1,1,1,1,1,1,1,1
student17_Prompt11_1.0,1,2,2,16,1,1,1,1,1,1,1,1,1,1,1,1
student17_Capstone_0.0,1,3,6,17,1,1,1,1,1,1,1,1,1,1,1,1
student17_Prompt2_1.0,0,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1
student17_Prompt5_1.0,1,2,2,9,1,1,1,1,1,1,1,1,1,1,1,1
student17_Prompt3_1.0,4,4,4,20,1,1,1,1,1,1,1,1,1,1,1,1
student17_Prompt10_1.0,1,1,1,8,1,1,1,1,1,1,1,1,1,1,1,1
student17_Prompt6_1.0,2,0,0,7,1,1,1,1,1,1,1,1,1,1,1,1
student17_Integration3_1.0,1,1,5,10,1,1,1,1,1,1,1,1,1,1,1,1
student17_Prompt8_1.0,0,1,1,9,1,1,1,1,1,1,1,1,1,1,1,1
student17_Prompt4_1.0,1,1,0,7,1,1,1,1,1,1,1,1,1,1,1,1
student17_Prompt9_1.0,2,0,3,9,1,1,1,1,1,1,1,1,1,1,1,1
student17_ePortfolio Link_1.0,1,3,3,7,1,1,1,1,1,1,1,1,1,1,1,1
student17_Prompt7_1.0,2,0,1,11,1,1,1,1,1,1,1,1,1,1,1,1
student18_ePortfolio Link_1.0,0,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1
student18_Prompt11_1.0,0,0,1,9,1,1,1,1,1,1,1,1,1,1,1,1
student18_Capstone_1.0,3,1,13,15,1,1,1,1,1,1,1,1,1,1,1,1
student18_Prompt2_1.0,1,2,6,10,1,1,1,1,1,1,1,1,1,1,1,1
student18_Prompt5_1.0,3,1,3,18,1,1,1,1,1,1,1,1,1,1,1,1
student18_Prompt3_1.0,0,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1
student18_Integration3_1.0,4,5,9,31,1,1,1,1,1,1,1,1,1,1,1,1
student18_Prompt9_1.0,0,2,2,12,1,1,1,1,1,1,1,1,1,1,1,1
student18_Prompt6_1.0,0,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1
student18_Prompt8_1.0,1,1,4,13,1,1,1,1,1,1,1,1,1,1,1,1
student19_Prompt11_1.0,1,1,3,9,1,1,1,1,1,1,1,1,1,1,1,1
student19_Capstone_1.0,2,2,8,16,1,1,1,1,1,1,1,1,1,1,1,1
student19_Prompt2_1.0,2,3,7,12,1,1,1,1,1,1,1,1,1,1,1,1
student19_Prompt5_1.0,9,8,4,38,1,1,1,1,1,1,1,1,1,1,1,1
student19_Prompt3_1.0,3,3,5,21,1,1,1,1,1,1,1,1,1,1,1,1
student19_Prompt10_1.0,0,0,0,3,1,1,1,1,1,1,1,1,1,1,1,1
student19_Prompt6_1.0,11,12,13,43,1,1,1,1,1,1,1,1,1,1,1,1
student19_Prompt8_1.0,0,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1
student19_Prompt4_1.0,3,3,1,14,1,1,1,1,1,1,1,1,1,1,1,1
student19_Prompt9_1.0,6,9,18,38,1,1,1,1,1,1,1,1,1,1,1,1
student19_ePortfolio Link_1.0,0,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1
student19_Prompt7_1.0,0,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1
student20_Prompt11_1.0,1,2,2,7,1,1,1,1,1,1,1,1,1,1,1,1
student20_Capstone_1.0,1,1,4,11,1,1,1,1,1,1,1,1,1,1,1,1
student20_Prompt2_1.0,1,3,4,15,1,1,1,1,1,1,1,1,1,1,1,1
student20_Prompt5_1.0,0,0,0,7,1,1,1,1,1,1,1,1,1,1,1,1
student20_Prompt3_1.0,0,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1
student20_Prompt10_1.0,1,1,3,7,1,1,1,1,1,1,1,1,1,1,1,1
student20_Integration3_1.0,0,0,0,5,1,1,1,1,1,1,1,1,1,1,1,1
student20_Prompt8_1.0,6,2,3,11,1,1,1,1,1,1,1,1,1,1,1,1
student20_Prompt4_1.0,1,1,0,9,1,1,1,1,1,1,1,1,1,1,1,1
student20_Prompt9_1.0,4,2,2,13,1,1,1,1,1,1,1,1,1,1,1,1
student20_ePortfolio Link_1.0,1,0,1,6,1,1,1,1,1,1,1,1,1,1,1,1
student20_Prompt7_1.0,1,0,2,13,1,1,1,1,1,1,1,1,1,1,1,1
student21_Prompt11_1.0,2,1,2,7,1,1,1,1,1,1,1,1,1,1,1,1
student21_Capstone_1.0,1,2,3,14,1,1,1,1,1,1,1,1,1,1,1,1
student21_Integration3_0.9,1,1,6,16,1,1,1,1,1,1,1,1,1,1,1,1
student21_Prompt5_1.0,3,4,2,16,1,1,1,1,1,1,1,1,1,1,1,1
student21_Prompt4_1.0,2,3,3,19,1,1,1,1,1,1,1,1,1,1,1,1
student21_Prompt3_1.0,1,1,1,18,1,1,1,1,1,1,1,1,1,1,1,1
student21_Prompt10_1.0,2,1,1,8,1,1,1,1,1,1,1,1,1,1,1,1
student21_Prompt9_1.0,4,1,1,15,1,1,1,1,1,1,1,1,1,1,1,1
student21_Prompt6_1.0,2,1,1,12,1,1,1,1,1,1,1,1,1,1,1,1
student21_Prompt7_1.0,5,3,2,11,1,1,1,1,1,1,1,1,1,1,1,1
student21_ePortfolio Link_1.0,0,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1
student22_Prompt11_1.0,3,2,0,9,1,1,1,1,1,1,1,1,1,1,1,1
student22_Prompt9_1.0,1,3,1,8,1,1,1,1,1,1,1,1,1,1,1,1
student22_Prompt2_0.0,4,5,6,11,1,1,1,1,1,1,1,1,1,1,1,1
student22_Prompt5_1.0,7,7,2,14,1,1,1,1,1,1,1,1,1,1,1,1
student22_Prompt4_1.0,5,4,1,8,1,1,1,1,1,1,1,1,1,1,1,1
student22_Prompt3_1.0,0,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1
student22_Prompt10_1.0,2,2,2,12,1,1,1,1,1,1,1,1,1,1,1,1
student22_Prompt7_1.0,1,0,0,10,1,1,1,1,1,1,1,1,1,1,1,1
student22_Prompt6_1.0,1,3,1,19,1,1,1,1,1,1,1,1,1,1,1,1
student22_Integration3_1.0,3,3,1,11,1,1,1,1,1,1,1,1,1,1,1,1
student22_ePortfolio Link_1.0,0,0,2,5,1,1,1,1,1,1,1,1,1,1,1,1
student23_Capstone_1.0,7,3,8,15,1,1,1,1,1,1,1,1,1,1,1,1
student23_Integration3_0.9,0,0,1,9,1,1,1,1,1,1,1,1,1,1,1,1
student23_Prompt5_1.0,3,3,0,14,1,1,1,1,1,1,1,1,1,1,1,1
student23_Prompt4_1.0,0,0,0,4,1,1,1,1,1,1,1,1,1,1,1,1
student23_Prompt10_1.0,0,0,0,5,1,1,1,1,1,1,1,1,1,1,1,1
student23_ePortfolio Link_1.0,0,0,2,5,1,1,1,1,1,1,1,1,1,1,1,1
student23_Prompt9_1.0,1,3,4,14,1,1,1,1,1,1,1,1,1,1,1,1
student23_Prompt7_0.5,0,0,0,5,1,1,1,1,1,1,1,1,1,1,1,1
student23_Prompt8_1.0,6,2,6,18,1,1,1,1,1,1,1,1,1,1,1,1
student24_Capstone_1.0,1,2,6,9,1,1,1,1,1,1,1,1,1,1,1,1
student24_Integration3_1.0,2,6,3,22,1,1,1,1,1,1,1,1,1,1,1,1
student24_Prompt5_1.0,2,1,0,12,1,1,1,1,1,1,1,1,1,1,1,1
student24_Prompt4_1.0,1,1,0,7,1,1,1,1,1,1,1,1,1,1,1,1
student24_Prompt2_1.0,1,2,7,15,1,1,1,1,1,1,1,1,1,1,1,1
student24_ePortfolio Link_1.0,0,0,0,5,1,1,1,1,1,1,1,1,1,1,1,1
student24_Prompt9_1.0,1,0,0,10,1,1,1,1,1,1,1,1,1,1,1,1
student24_Prompt7_1.0,4,4,4,12,1,1,1,1,1,1,1,1,1,1,1,1
student25_Prompt8_1.0,0,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1
student25_Prompt2_1.0,1,0,1,7,1,1,1,1,1,1,1,1,1,1,1,1
student25_Prompt5_1.0,2,0,2,8,1,1,1,1,1,1,1,1,1,1,1,1
student25_Prompt4_1.0,1,1,0,11,1,1,1,1,1,1,1,1,1,1,1,1
student25_Prompt10_1.0,1,1,1,8,1,1,1,1,1,1,1,1,1,1,1,1
student25_Prompt7_1.0,6,1,1,16,1,1,1,1,1,1,1,1,1,1,1,1
student25_Prompt6_1.0,2,4,5,21,1,1,1,1,1,1,1,1,1,1,1,1
student25_Integration3_1.0,0,0,0,5,1,1,1,1,1,1,1,1,1,1,1,1
student26_Prompt8_1.0,5,2,3,13,1,1,1,1,1,1,1,1,1,1,1,1
student26_Integration3_0.9,1,2,0,8,1,1,1,1,1,1,1,1,1,1,1,1
student26_Prompt5_1.0,0,0,0,5,1,1,1,1,1,1,1,1,1,1,1,1
student26_Prompt4_1.0,2,2,6,22,1,1,1,1,1,1,1,1,1,1,1,1
student26_Prompt10_0.8,1,1,3,19,1,1,1,1,1,1,1,1,1,1,1,1
student26_Prompt9_1.0,2,2,1,10,1,1,1,1,1,1,1,1,1,1,1,1
student26_Prompt6_1.0,0,1,0,15,1,1,1,1,1,1,1,1,1,1,1,1
student27_Prompt11_1.0,0,0,0,4,1,1,1,1,1,1,1,1,1,1,1,1
student27_Capstone_1.0,5,4,11,16,1,1,1,1,1,1,1,1,1,1,1,1
student27_Integration3_0.9,1,0,5,18,1,1,1,1,1,1,1,1,1,1,1,1
student27_Prompt5_1.0,2,0,1,11,1,1,1,1,1,1,1,1,1,1,1,1
student27_Prompt4_1.0,1,2,2,12,1,1,1,1,1,1,1,1,1,1,1,1
student27_Prompt10_1.0,0,0,1,14,1,1,1,1,1,1,1,1,1,1,1,1
student27_ePortfolio Link_1.0,0,0,0,3,1,1,1,1,1,1,1,1,1,1,1,1
student27_Prompt9_1.0,1,0,0,8,1,1,1,1,1,1,1,1,1,1,1,1
student27_Prompt7_1.0,0,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1
student27_Prompt8_1.0,6,3,2,17,1,1,1,1,1,1,1,1,1,1,1,1
student28_Prompt11_1.0,4,4,2,9,1,1,1,1,1,1,1,1,1,1,1,1
student28_Prompt8_1.0,7,3,2,19,1,1,1,1,1,1,1,1,1,1,1,1
student28_Prompt2_1.0,0,0,1,9,1,1,1,1,1,1,1,1,1,1,1,1
student28_Prompt5_1.0,1,1,4,16,1,1,1,1,1,1,1,1,1,1,1,1
student28_Prompt3_1.0,0,0,0,5,1,1,1,1,1,1,1,1,1,1,1,1
student28_Prompt10_1.0,0,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1
student28_Prompt9_1.0,0,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1
student28_Prompt6_1.0,0,2,0,20,1,1,1,1,1,1,1,1,1,1,1,1
student28_Integration3_1.0,0,0,0,3,1,1,1,1,1,1,1,1,1,1,1,1
student28_ePortfolio Link_1.0,4,3,9,17,1,1,1,1,1,1,1,1,1,1,1,1
student29_Prompt11_1.0,2,2,6,17,1,1,1,1,1,1,1,1,1,1,1,1
student29_Capstone_1.0,0,0,6,10,1,1,1,1,1,1,1,1,1,1,1,1
student29_Prompt2_1.0,1,1,3,5,1,1,1,1,1,1,1,1,1,1,1,1
student29_Prompt5_1.0,3,0,1,17,1,1,1,1,1,1,1,1,1,1,1,1
student29_Prompt3_1.0,1,0,0,10,1,1,1,1,1,1,1,1,1,1,1,1
student29_Prompt10_1.0,3,3,7,17,1,1,1,1,1,1,1,1,1,1,1,1
student29_Prompt6_1.0,5,1,4,16,1,1,1,1,1,1,1,1,1,1,1,1
student29_Integration3_1.0,1,4,8,25,1,1,1,1,1,1,1,1,1,1,1,1
student29_Prompt8_1.0,3,3,3,17,1,1,1,1,1,1,1,1,1,1,1,1
student29_Prompt4_1.0,2,4,4,21,1,1,1,1,1,1,1,1,1,1,1,1
student29_Prompt9_1.0,1,0,1,10,1,1,1,1,1,1,1,1,1,1,1,1
student29_ePortfolio Link_1.0,1,1,3,16,1,1,1,1,1,1,1,1,1,1,1,1
student29_Prompt7_1.0,2,1,0,10,1,1,1,1,1,1,1,1,1,1,1,1
student30_Prompt11_1.0,1,2,1,10,1,1,1,1,1,1,1,1,1,1,1,1
student30_Capstone_1.0,1,1,3,9,1,1,1,1,1,1,1,1,1,1,1,1
student30_Prompt2_1.0,3,2,5,18,1,1,1,1,1,1,1,1,1,1,1,1
student30_Prompt5_1.0,1,0,2,12,1,1,1,1,1,1,1,1,1,1,1,1
student30_Prompt3_1.0,3,1,0,12,1,1,1,1,1,1,1,1,1,1,1,1
student30_Prompt10_1.0,4,1,8,22,1,1,1,1,1,1,1,1,1,1,1,1
student30_Prompt6_0.8,2,0,0,10,1,1,1,1,1,1,1,1,1,1,1,1
student30_Integration3_1.0,0,0,2,15,1,1,1,1,1,1,1,1,1,1,1,1
student30_Prompt8_1.0,1,1,2,12,1,1,1,1,1,1,1,1,1,1,1,1
student30_Prompt4_0.8,2,3,1,11,1,1,1,1,1,1,1,1,1,1,1,1
student30_Prompt9_1.0,2,0,0,7,1,1,1,1,1,1,1,1,1,1,1,1
student30_ePortfolio Link_1.0,0,0,0,8,1,1,1,1,1,1,1,1,1,1,1,1
student30_Prompt7_1.0,2,0,3,18,1,1,1,1,1,1,1,1,1,1,1,1
student31_ePortfolio Link_1.0,2,1,8,21,1,1,1,1,1,1,1,1,1,1,1,1
student31_Capstone_1.0,1,1,5,8,1,1,1,1,1,1,1,1,1,1,1,1
student31_Prompt2_1.0,0,1,0,6,1,1,1,1,1,1,1,1,1,1,1,1
